Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,NIV_EDUCA_esta,EDAT_Q,SEXE
2025-01-01,1,Ciutat Vella,1,el Raval,..,1,4,2
2025-01-01,1,Ciutat Vella,1,el Raval,..,1,5,1
2025-01-01,1,Ciutat Vella,1,el Raval,8,1,5,2
2025-01-01,1,Ciutat Vella,1,el Raval,..,1,6,1
2025-01-01,1,Ciutat Vella,1,el Raval,5,1,6,2
2025-01-01,1,Ciutat Vella,1,el Raval,..,1,7,1
2025-01-01,1,Ciutat Vella,1,el Raval,8,1,7,2
2025-01-01,1,Ciutat Vella,1,el Raval,..,1,8,1
2025-01-01,1,Ciutat Vella,1,el Raval,5,1,8,2
2025-01-01,1,Ciutat Vella,1,el Raval,..,1,9,1
2025-01-01,1,Ciutat Vella,1,el Raval,..,1,9,2
2025-01-01,1,Ciutat Vella,1,el Raval,..,1,10,1
2025-01-01,1,Ciutat Vella,1,el Raval,..,1,10,2
2025-01-01,1,Ciutat Vella,1,el Raval,..,1,11,1
2025-01-01,1,Ciutat Vella,1,el Raval,..,1,11,2
2025-01-01,1,Ciutat Vella,1,el Raval,..,1,12,1
2025-01-01,1,Ciutat Vella,1,el Raval,..,1,13,1
2025-01-01,1,Ciutat Vella,1,el Raval,..,1,13,2
2025-01-01,1,Ciutat Vella,1,el Raval,..,1,14,1
2025-01-01,1,Ciutat Vella,1,el Raval,..,1,14,2
2025-01-01,1,Ciutat Vella,1,el Raval,..,1,15,1
2025-01-01,1,Ciutat Vella,1,el Raval,..,1,15,2
2025-01-01,1,Ciutat Vella,1,el Raval,..,1,16,1
2025-01-01,1,Ciutat Vella,1,el Raval,..,1,16,2
2025-01-01,1,Ciutat Vella,1,el Raval,89,1,17,1
2025-01-01,1,Ciutat Vella,1,el Raval,32,1,17,2
2025-01-01,1,Ciutat Vella,1,el Raval,56,1,18,1
2025-01-01,1,Ciutat Vella,1,el Raval,19,1,18,2
2025-01-01,1,Ciutat Vella,1,el Raval,22,1,19,1
2025-01-01,1,Ciutat Vella,1,el Raval,5,1,19,2
2025-01-01,1,Ciutat Vella,1,el Raval,..,1,20,1
2025-01-01,1,Ciutat Vella,1,el Raval,372,2,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,414,2,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,155,2,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,332,2,4,2
2025-01-01,1,Ciutat Vella,1,el Raval,153,2,5,1
2025-01-01,1,Ciutat Vella,1,el Raval,399,2,5,2
2025-01-01,1,Ciutat Vella,1,el Raval,262,2,6,1
2025-01-01,1,Ciutat Vella,1,el Raval,479,2,6,2
2025-01-01,1,Ciutat Vella,1,el Raval,288,2,7,1
2025-01-01,1,Ciutat Vella,1,el Raval,447,2,7,2
2025-01-01,1,Ciutat Vella,1,el Raval,298,2,8,1
2025-01-01,1,Ciutat Vella,1,el Raval,484,2,8,2
2025-01-01,1,Ciutat Vella,1,el Raval,307,2,9,1
2025-01-01,1,Ciutat Vella,1,el Raval,544,2,9,2
2025-01-01,1,Ciutat Vella,1,el Raval,338,2,10,1
2025-01-01,1,Ciutat Vella,1,el Raval,430,2,10,2
2025-01-01,1,Ciutat Vella,1,el Raval,324,2,11,1
2025-01-01,1,Ciutat Vella,1,el Raval,393,2,11,2
2025-01-01,1,Ciutat Vella,1,el Raval,296,2,12,1
2025-01-01,1,Ciutat Vella,1,el Raval,325,2,12,2
2025-01-01,1,Ciutat Vella,1,el Raval,297,2,13,1
2025-01-01,1,Ciutat Vella,1,el Raval,281,2,13,2
2025-01-01,1,Ciutat Vella,1,el Raval,278,2,14,1
2025-01-01,1,Ciutat Vella,1,el Raval,200,2,14,2
2025-01-01,1,Ciutat Vella,1,el Raval,303,2,15,1
2025-01-01,1,Ciutat Vella,1,el Raval,203,2,15,2
2025-01-01,1,Ciutat Vella,1,el Raval,255,2,16,1
2025-01-01,1,Ciutat Vella,1,el Raval,155,2,16,2
2025-01-01,1,Ciutat Vella,1,el Raval,114,2,17,1
2025-01-01,1,Ciutat Vella,1,el Raval,75,2,17,2
2025-01-01,1,Ciutat Vella,1,el Raval,105,2,18,1
2025-01-01,1,Ciutat Vella,1,el Raval,18,2,18,2
2025-01-01,1,Ciutat Vella,1,el Raval,29,2,19,1
2025-01-01,1,Ciutat Vella,1,el Raval,5,2,19,2
2025-01-01,1,Ciutat Vella,1,el Raval,..,2,20,1
2025-01-01,1,Ciutat Vella,1,el Raval,..,2,20,2
2025-01-01,1,Ciutat Vella,1,el Raval,326,3,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,341,3,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,580,3,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,790,3,4,2
2025-01-01,1,Ciutat Vella,1,el Raval,567,3,5,1
2025-01-01,1,Ciutat Vella,1,el Raval,904,3,5,2
2025-01-01,1,Ciutat Vella,1,el Raval,554,3,6,1
2025-01-01,1,Ciutat Vella,1,el Raval,879,3,6,2
2025-01-01,1,Ciutat Vella,1,el Raval,513,3,7,1
2025-01-01,1,Ciutat Vella,1,el Raval,795,3,7,2
2025-01-01,1,Ciutat Vella,1,el Raval,460,3,8,1
2025-01-01,1,Ciutat Vella,1,el Raval,685,3,8,2
2025-01-01,1,Ciutat Vella,1,el Raval,419,3,9,1
2025-01-01,1,Ciutat Vella,1,el Raval,658,3,9,2
2025-01-01,1,Ciutat Vella,1,el Raval,453,3,10,1
2025-01-01,1,Ciutat Vella,1,el Raval,532,3,10,2
2025-01-01,1,Ciutat Vella,1,el Raval,323,3,11,1
2025-01-01,1,Ciutat Vella,1,el Raval,428,3,11,2
2025-01-01,1,Ciutat Vella,1,el Raval,269,3,12,1
2025-01-01,1,Ciutat Vella,1,el Raval,255,3,12,2
2025-01-01,1,Ciutat Vella,1,el Raval,201,3,13,1
2025-01-01,1,Ciutat Vella,1,el Raval,174,3,13,2
2025-01-01,1,Ciutat Vella,1,el Raval,137,3,14,1
2025-01-01,1,Ciutat Vella,1,el Raval,110,3,14,2
